job_id,skill,y_value,skill_weight
0,node.js,1.0,1.8820000000000001
0,mongodb,1.0,1.834
0,docker,1.0,1.912
0,postgresql,1.0,1.892
0,laravel,1.0,1.982
1,typescript,1.0,1.956
1,bootstrap,1.0,1.766
1,testing,1.0,1.674
1,devops,1.0,1.95
1,sql server,1.0,1.69
2,rail,1.0,1.954
2,rest,1.0,1.748
2,api,1.0,1.712
2,agile,1.0,1.646
2,ruby,1.0,1.95
3,git,1.0,1.706
3,html,1.0,1.496
3,docker,1.0,1.912
3,css,1.0,1.56
3,angular,1.0,1.798
4,problem solving,1.0,1.958
4,mongodb,1.0,1.834
4,kafka,1.0,1.968
4,leadership,1.0,1.834
4,spring,1.0,1.8
5,aws,1.0,1.802
5,golang,1.0,1.956
6,communication,1.0,1.5
6,project management,1.0,1.798
6,sql,1.0,1.416
7,etl,1.0,1.9100000000000001
7,sql,1.0,1.416
7,sql server,1.0,1.69
7,leadership,1.0,1.834
8,oracle,1.0,1.624
8,sql,1.0,1.416
8,communication,1.0,1.5
8,linux,1.0,1.574
9,sql server,1.0,1.69
9,sql,1.0,1.416
10,statistic,1.0,1.908
10,automation,1.0,1.794
10,encryption,1.0,1.9100000000000001
10,business intelligence,1.0,1.946
10,sql,1.0,1.416
11,.net,1.0,1.9020000000000001
11,oracle,1.0,1.624
11,etl,1.0,1.9100000000000001
11,azure,1.0,1.928
11,sql server,1.0,1.69
12,gcp,1.0,1.99
12,jenkins,1.0,1.842
12,kubernetes,1.0,1.972
12,shell,1.0,1.8
12,devops,1.0,1.95
13,gcp,1.0,1.99
13,automation,1.0,1.794
13,docker,1.0,1.912
13,kubernetes,1.0,1.972
13,azure,1.0,1.928
14,dns,1.0,1.8980000000000001
14,ansible,1.0,1.966
14,terraform,1.0,1.994
14,tcp/ip,1.0,1.908
14,ruby,1.0,1.95
15,ci/cd,1.0,1.968
15,jenkins,1.0,1.842
15,aws,1.0,1.802
15,api,1.0,1.712
15,linux,1.0,1.574
16,ci/cd,1.0,1.968
16,kubernetes,1.0,1.972
16,shell,1.0,1.8
16,devops,1.0,1.95
16,big data,1.0,1.952
17,perl,1.0,1.9140000000000001
17,ansible,1.0,1.966
17,terraform,1.0,1.994
17,nginx,1.0,1.966
17,bash,1.0,1.916
18,django,1.0,1.892
18,rest,1.0,1.748
18,python,1.0,1.734
18,api,1.0,1.712
18,mysql,1.0,1.6280000000000001
19,python,1.0,1.734
19,django,1.0,1.892
19,communication,1.0,1.5
19,sql,1.0,1.416
20,python,1.0,1.734
20,django,1.0,1.892
20,sql,1.0,1.416
20,excel,1.0,1.772
21,django,1.0,1.892
21,ci/cd,1.0,1.968
21,postgresql,1.0,1.892
21,react,1.0,1.8820000000000001
21,angular,1.0,1.798
22,flask,1.0,1.93
22,django,1.0,1.892
22,mongodb,1.0,1.834
22,rest,1.0,1.748
22,mysql,1.0,1.6280000000000001
23,flask,1.0,1.93
23,django,1.0,1.892
23,python,1.0,1.734
25,kotlin,1.0,1.996
25,rest,1.0,1.748
25,api,1.0,1.712
25,flutter,0.0,2.0
25,swift,1.0,1.978
26,ci/cd,1.0,1.968
26,rest,1.0,1.748
26,testing,1.0,1.674
26,flutter,0.0,2.0
26,mysql,1.0,1.6280000000000001
27,flutter,0.0,2.0
27,api,1.0,1.712
28,git,1.0,1.706
28,ci/cd,1.0,1.968
28,rest,1.0,1.748
28,sql,1.0,1.416
28,flutter,0.0,2.0
29,flutter,0.0,2.0
29,javascript,1.0,1.542
30,html,1.0,1.496
30,agile,1.0,1.646
30,react,1.0,1.8820000000000001
30,angular,1.0,1.798
30,vue,1.0,1.986
31,mongodb,1.0,1.834
31,elasticsearch,1.0,1.992
31,react,1.0,1.8820000000000001
31,redis,1.0,1.966
31,angular,1.0,1.798
32,node.js,1.0,1.8820000000000001
32,bootstrap,1.0,1.766
32,agile,1.0,1.646
32,react,1.0,1.8820000000000001
32,css,1.0,1.56
33,php,1.0,1.782
33,html,1.0,1.496
33,c++,1.0,1.802
33,react,1.0,1.8820000000000001
33,mysql,1.0,1.6280000000000001
34,communication,1.0,1.5
34,javascript,1.0,1.542
34,automation,1.0,1.794
34,devops,1.0,1.95
35,.net,1.0,1.9020000000000001
35,bootstrap,1.0,1.766
35,scrum,1.0,1.75
35,devops,1.0,1.95
35,selenium,1.0,1.9260000000000002
36,.net,1.0,1.9020000000000001
36,ci/cd,1.0,1.968
36,jenkins,1.0,1.842
36,linux,1.0,1.574
36,vue,1.0,1.986
37,jira,1.0,1.76
37,microservices,1.0,1.954
37,testing,1.0,1.674
37,oracle,1.0,1.624
37,spring,1.0,1.8
38,jira,1.0,1.76
38,kafka,1.0,1.968
38,blockchain,0.0,2.0
38,redis,1.0,1.966
38,cassandra,1.0,1.9260000000000002
39,node.js,1.0,1.8820000000000001
39,ci/cd,1.0,1.968
39,microservices,1.0,1.954
39,api,1.0,1.712
39,spring,1.0,1.8
40,java,1.0,1.6139999999999999
40,agile,1.0,1.646
40,risk management,1.0,1.924
40,microservices,1.0,1.954
41,problem solving,1.0,1.958
41,ci/cd,1.0,1.968
41,jenkins,1.0,1.842
41,kafka,1.0,1.968
41,oracle,1.0,1.624
42,jenkins,1.0,1.842
42,typescript,1.0,1.956
42,iot,1.0,1.992
42,react,1.0,1.8820000000000001
42,angular,1.0,1.798
43,jira,1.0,1.76
43,typescript,1.0,1.956
43,aws,1.0,1.802
43,react,1.0,1.8820000000000001
43,linux,1.0,1.574
44,sap,1.0,1.936
44,kafka,1.0,1.968
44,elasticsearch,1.0,1.992
44,scrum,1.0,1.75
44,kubernetes,1.0,1.972
45,typescript,1.0,1.956
45,react,1.0,1.8820000000000001
45,linux,1.0,1.574
45,big data,1.0,1.952
45,spring,1.0,1.8
46,communication,1.0,1.5
46,java,1.0,1.6139999999999999
46,javascript,1.0,1.542
47,git,1.0,1.706
47,html,1.0,1.496
47,javascript,1.0,1.542
47,react,1.0,1.8820000000000001
47,css,1.0,1.56
48,natural language processing,1.0,1.994
48,computer vision,1.0,1.994
48,deep learning,1.0,1.988
48,tensorflow,1.0,1.986
48,pytorch,1.0,1.996
49,testing,1.0,1.674
49,communication,1.0,1.5
49,machine learning,1.0,1.976
49,cs,1.0,1.99
50,data warehouse,1.0,1.932
50,deep learning,1.0,1.988
50,statistics,1.0,1.996
50,excel,1.0,1.772
50,power bi,1.0,1.986
51,natural language processing,1.0,1.994
51,computer vision,1.0,1.994
51,scikit-learn,1.0,1.976
51,pytorch,1.0,1.996
51,numpy,1.0,1.916
52,statistic,1.0,1.908
52,deep learning,1.0,1.988
52,python,1.0,1.734
52,api,1.0,1.712
52,excel,1.0,1.772
53,automation,1.0,1.794
53,python,1.0,1.734
53,c++,1.0,1.802
53,data analysis,1.0,1.9180000000000001
53,mysql,1.0,1.6280000000000001
54,.net,1.0,1.9020000000000001
54,firewall,1.0,1.8719999999999999
54,dns,1.0,1.8980000000000001
54,vpn,1.0,1.8940000000000001
54,azure,1.0,1.928
55,firewall,1.0,1.8719999999999999
55,tcp/ip,1.0,1.908
55,network security,1.0,1.916
55,linux,1.0,1.574
55,oracle,1.0,1.624
56,network security,1.0,1.916
56,communication,1.0,1.5
56,firewall,1.0,1.8719999999999999
56,vpn,1.0,1.8940000000000001
57,firewall,1.0,1.8719999999999999
57,linux,1.0,1.574
58,firewall,1.0,1.8719999999999999
58,dns,1.0,1.8980000000000001
58,tcp/ip,1.0,1.908
58,network security,1.0,1.916
58,vpn,1.0,1.8940000000000001
59,firewall,1.0,1.8719999999999999
60,node.js,1.0,1.8820000000000001
60,express,1.0,1.9100000000000001
60,api,1.0,1.712
60,redis,1.0,1.966
60,postgresql,1.0,1.892
61,node.js,1.0,1.8820000000000001
61,express,1.0,1.9100000000000001
61,scrum,1.0,1.75
61,devops,1.0,1.95
61,azure,1.0,1.928
62,javascript,1.0,1.542
62,communication,1.0,1.5
62,angular,1.0,1.798
63,problem solving,1.0,1.958
63,express,1.0,1.9100000000000001
63,mongodb,1.0,1.834
63,encryption,1.0,1.9100000000000001
63,typescript,1.0,1.956
64,express,1.0,1.9100000000000001
64,typescript,1.0,1.956
64,bootstrap,1.0,1.766
64,postgresql,1.0,1.892
64,sqlite,1.0,1.95
65,kafka,1.0,1.968
65,spark,1.0,1.946
65,scrum,1.0,1.75
65,big data,1.0,1.952
65,hadoop,1.0,1.938
66,php,1.0,1.782
66,html,1.0,1.496
66,wordpress,1.0,1.9140000000000001
66,css,1.0,1.56
66,mysql,1.0,1.6280000000000001
67,node.js,1.0,1.8820000000000001
67,php,1.0,1.782
67,automation,1.0,1.794
67,scrum,1.0,1.75
67,laravel,1.0,1.982
68,php,1.0,1.782
68,html,1.0,1.496
68,wordpress,1.0,1.9140000000000001
68,javascript,1.0,1.542
68,css,1.0,1.56
69,php,1.0,1.782
69,wordpress,1.0,1.9140000000000001
69,bootstrap,1.0,1.766
69,shell,1.0,1.8
69,laravel,1.0,1.982
70,mysql,1.0,1.6280000000000001
70,php,1.0,1.782
71,php,1.0,1.782
71,communication,1.0,1.5
71,python,1.0,1.734
71,leadership,1.0,1.834
71,mysql,1.0,1.6280000000000001
72,teamwork,1.0,1.968
72,statistic,1.0,1.908
72,automation,1.0,1.794
72,c++,1.0,1.802
72,linux,1.0,1.574
73,scala,1.0,1.958
73,python,1.0,1.734
73,agile,1.0,1.646
73,c++,1.0,1.802
73,react,1.0,1.8820000000000001
74,perl,1.0,1.9140000000000001
74,problem solving,1.0,1.958
74,aws,1.0,1.802
74,c++,1.0,1.802
74,spring,1.0,1.8
75,scikit-learn,1.0,1.976
75,spark,1.0,1.946
75,etl,1.0,1.9100000000000001
75,panda,1.0,1.9220000000000002
75,numpy,1.0,1.916
76,oracle,1.0,1.624
76,data analysis,1.0,1.9180000000000001
76,etl,1.0,1.9100000000000001
76,excel,1.0,1.772
76,tableau,1.0,1.958
77,api,1.0,1.712
77,.net,1.0,1.9020000000000001
77,sql,1.0,1.416
78,wordpress,1.0,1.9140000000000001
78,mysql,1.0,1.6280000000000001
78,php,1.0,1.782
79,css,1.0,1.56
79,html,1.0,1.496
79,wordpress,1.0,1.9140000000000001
79,php,1.0,1.782
80,php,1.0,1.782
80,wordpress,1.0,1.9140000000000001
80,bootstrap,1.0,1.766
80,css,1.0,1.56
80,mysql,1.0,1.6280000000000001
81,.net,1.0,1.9020000000000001
81,php,1.0,1.782
81,golang,1.0,1.956
81,wordpress,1.0,1.9140000000000001
81,linux,1.0,1.574
82,html,1.0,1.496
82,wordpress,1.0,1.9140000000000001
82,communication,1.0,1.5
82,javascript,1.0,1.542
82,css,1.0,1.56
83,git,1.0,1.706
83,php,1.0,1.782
83,wordpress,1.0,1.9140000000000001
83,css,1.0,1.56
83,mysql,1.0,1.6280000000000001
85,swift,1.0,1.978
86,git,1.0,1.706
86,rest,1.0,1.748
86,api,1.0,1.712
86,agile,1.0,1.646
86,swift,1.0,1.978
87,git,1.0,1.706
87,swift,1.0,1.978
88,git,1.0,1.706
88,cs,1.0,1.99
88,api,1.0,1.712
88,agile,1.0,1.646
88,sql,1.0,1.416
89,swift,1.0,1.978
