resume_id,job_id
92,0
231,0
392,0
223,0
174,0
68,1
426,1
253,1
463,1
325,1
233,2
4,2
499,2
320,2
47,2
235,3
478,3
190,3
497,3
15,3
47,4
72,4
214,4
392,4
467,4
64,5
220,5
34,5
342,5
56,5
56,6
293,6
261,6
218,6
90,6
425,7
400,7
463,7
390,7
44,7
301,8
319,8
159,8
470,8
400,8
173,9
169,9
335,9
377,9
372,9
344,10
400,10
50,10
296,10
280,10
375,11
44,11
280,11
311,11
400,11
182,12
389,12
111,12
148,12
52,12
318,13
148,13
111,13
382,13
427,13
182,14
389,14
148,14
246,14
380,14
182,15
389,15
213,15
12,15
34,15
182,16
389,16
162,16
207,16
92,16
182,17
389,17
246,17
395,17
147,17
82,18
102,18
15,18
12,18
256,18
213,19
475,19
157,19
55,19
12,19
118,20
442,20
433,20
205,20
268,20
475,21
92,21
12,21
15,21
223,21
256,22
475,22
452,22
427,22
219,22
118,23
350,23
285,23
304,23
256,23
259,24
441,24
154,24
198,24
3,24
99,25
497,25
223,25
455,25
254,25
99,26
409,26
240,26
34,26
20,26
99,27
253,27
142,27
68,27
198,27
409,28
240,28
213,28
99,28
223,28
348,29
66,29
235,29
77,29
96,29
171,30
409,30
388,30
4,30
260,30
39,31
412,31
388,31
92,31
392,31
250,32
260,32
93,32
468,32
388,32
34,33
475,33
172,33
273,33
223,33
493,34
218,34
395,34
363,34
474,34
253,35
388,35
325,35
409,35
443,35
455,36
198,36
240,36
213,36
99,36
103,37
13,37
34,37
289,37
240,37
392,38
297,38
380,38
92,38
47,38
297,39
392,39
370,39
389,39
34,39
297,40
68,40
174,40
13,40
406,40
240,41
34,41
103,41
467,41
297,41
260,42
409,42
388,42
34,42
253,42
497,43
432,43
190,43
260,43
475,43
392,44
22,44
72,44
174,44
332,44
432,45
34,45
392,45
93,45
155,45
467,46
246,46
34,46
363,46
220,46
155,47
171,47
360,47
310,47
409,47
252,48
111,48
148,48
489,48
246,48
246,49
148,49
489,49
111,49
59,49
252,50
148,50
375,50
268,50
48,50
111,51
252,51
330,51
59,51
246,51
252,52
330,52
67,52
489,52
15,52
83,53
280,53
302,53
363,53
246,53
311,54
379,54
78,54
259,54
169,54
328,55
77,55
131,55
367,55
313,55
63,56
328,56
291,56
379,56
259,56
328,57
393,57
367,57
0,57
169,57
328,58
63,58
379,58
169,58
291,58
5,59
346,59
328,59
169,59
393,59
162,60
247,60
155,60
92,60
432,60
190,61
432,61
499,61
155,61
409,61
269,62
85,62
467,62
171,62
34,62
39,63
214,63
432,63
478,63
412,63
432,64
190,64
233,64
478,64
388,64
220,65
467,65
207,65
392,65
92,65
482,66
430,66
158,66
409,66
48,66
443,67
497,67
499,67
420,67
158,67
281,68
70,68
138,68
277,68
206,68
430,69
158,69
127,69
374,69
206,69
430,70
482,70
127,70
53,70
158,70
158,71
236,71
246,71
427,71
235,71
246,72
218,72
133,72
280,72
27,72
475,73
92,73
246,73
405,73
220,73
321,74
246,74
415,74
206,74
427,74
213,75
268,75
489,75
246,75
192,75
268,76
139,76
280,76
48,76
375,76
253,77
325,77
68,77
16,77
33,77
277,78
482,78
281,78
158,78
235,78
482,79
277,79
206,79
70,79
158,79
235,80
70,80
281,80
158,80
206,80
158,81
127,81
482,81
70,81
235,81
206,82
158,82
235,82
277,82
482,82
158,83
374,83
482,83
499,83
206,83
28,84
259,84
450,84
404,84
362,84
254,85
445,85
146,85
223,85
453,85
99,86
260,86
214,86
443,86
320,86
303,87
223,87
162,87
99,87
214,87
499,88
409,88
325,88
253,88
99,88
254,89
445,89
223,89
146,89
162,89
