mean_score,mean_coverage,mean_cov_per_min,mean_review_min,novelty,underfilled,total_selected,budget,obj_val,solve_time
0.6076824253872929,0.9127777777777778,0.030731671715710205,29.700666666666667,0.5241379310344828,14,435,30,336.33610063808584,204.41210019995924
0.6415864208234572,0.9444444444444444,0.027419288402679154,34.452466666666666,0.5533333333333333,0,450,35,369.59124937055583,34.63805399998091
0.6722037139358673,0.948888888888889,0.024237546055623845,39.16797777777777,0.5666666666666667,0,450,40,383.8442312711403,17.805470399965998
0.6930096668944508,0.9533333333333335,0.021802767056294997,43.78727222222222,0.5733333333333334,0,450,45,393.6792301025029,15.01858049997827
0.7077766944622076,0.9555555555555556,0.019921215192140913,48.10884444444446,0.58,0,450,50,400.56391250799345,7.063506799982861
0.7208499040144847,0.9577777777777778,0.018125319065637222,52.83253333333333,0.6022222222222222,0,450,55,406.6858968065181,8.512495299975853
0.7312079577642037,0.9577777777777778,0.016764989763823825,57.503066666666676,0.6066666666666667,0,450,60,411.3470209938917,7.887839300034102
0.739259489061331,0.9577777777777778,0.01572137367789383,61.44726000000001,0.6088888888888889,0,450,65,414.97021007759895,5.7336811000132
0.7462565753286934,0.9577777777777778,0.01470180358389691,66.0121211111111,0.6022222222222222,0,450,70,418.1188988979121,4.776990200043656
0.7576005937646632,0.9577777777777778,0.013810405225681935,71.98340666666667,0.6066666666666667,0,450,80,423.2237071940985,3.554777200042736
