job_id,job_title,num_required_skills,covered_required_skills,coverage_rate,covered_required_skill_weight,total_required_skill_weight,weighted_coverage_rate,required_skills
1,Wordpress Developer,4,4,1.0,4.0,4.0,1.0,"communication, css, git, javascript"
2,Backend Developer,6,5,0.8333333333333334,4.933864541832669,6.0,0.8223107569721115,"css, html, javascript, optimization, problem solving, python"
3,iOS Developer,2,2,1.0,2.0,2.0,1.0,"ios, swift"
4,Flutter Developer,6,3,0.5,2.827906976744186,6.0,0.47131782945736433,"communication, flutter, java, react, react native, swift"
5,Database Administrator,1,1,1.0,1.0,1.0,1.0,communication
6,Java Developer,6,4,0.6666666666666666,3.819488817891374,6.000000000000001,0.6365814696485622,"agile, communication, design patterns, microservices, mysql, testing"
7,Machine Learning,6,4,0.6666666666666666,3.956489122280571,6.000000000000001,0.6594148537134283,"computer vision, data science, deep learning, kubernetes, machine learning, tensorflow"
8,Wordpress Developer,2,2,1.0,2.0,2.0,1.0,"communication, javascript"
9,Django Developer,6,6,1.0,6.0,6.0,1.0,"communication, data science, deep learning, devops, machine learning, postgresql"
10,Django Developer,1,1,1.0,1.0,1.0,1.0,django
11,PHP Developer,6,5,0.8333333333333334,4.9444444444444455,6.000000000000001,0.8240740740740742,"api, css, design patterns, html, nosql, php"
12,Backend Developer,6,4,0.6666666666666666,3.936651583710407,6.0,0.6561085972850679,"data science, design patterns, elasticsearch, javascript, kubernetes, postgresql"
13,DevOps Engineer,6,4,0.6666666666666666,3.913043478260869,6.0,0.6521739130434782,"ansible, devops, jenkins, kubernetes, terraform, testing"
14,Wordpress Developer,1,1,1.0,1.0,1.0,1.0,javascript
15,Database Administrator,3,3,1.0,3.0000000000000004,3.0000000000000004,1.0,"communication, optimization, sql"
16,PHP Developer,6,5,0.8333333333333334,4.941176470588235,5.999999999999999,0.8235294117647058,"design patterns, git, javascript, jira, mysql, php"
17,Software Engineer,6,3,0.5,2.914156626506024,6.000000000000001,0.4856927710843373,"design patterns, javascript, jenkins, kubernetes, microservices, selenium"
18,Network Administrator,0,0,0.0,0.0,0.0,0.0,
19,Node js developer,6,4,0.6666666666666666,3.8346581875993637,6.0,0.6391096979332272,"java, javascript, node.js, react, react native, testing"
20,JavaScript Developer,6,6,1.0,6.0,6.0,1.0,"css, javascript, optimization, problem solving, react, testing"
21,JavaScript Developer,5,5,1.0,5.0,5.0,1.0,"css, git, javascript, node.js, testing"
22,Network Administrator,1,1,1.0,1.0,1.0,1.0,communication
23,Node js developer,6,6,1.0,6.0,6.0,1.0,"java, javascript, microservices, node.js, nosql, testing"
24,Software Engineer,6,6,1.0,6.0,6.0,1.0,"agile, javascript, jenkins, python, selenium, testing"
25,Java Developer,6,6,1.0,6.0,6.0,1.0,"communication, html, java, javascript, node.js, react"
26,iOS Developer,6,4,0.6666666666666666,3.9150579150579152,6.0,0.6525096525096525,"agile, android, azure, devops, swift, testing"
27,DevOps Engineer,6,4,0.6666666666666666,3.9778270509977824,6.0,0.6629711751662971,"ansible, azure, ci/cd, devops, kubernetes, terraform"
28,Flutter Developer,2,1,0.5,0.9468822170900693,2.0,0.47344110854503463,"flutter, javascript"
29,Django Developer,4,4,1.0,4.0,4.0,1.0,"django, flask, javascript, python"
30,Database Administrator,5,4,0.8,3.9050387596899228,5.0,0.7810077519379846,"agile, communication, data analysis, leadership, sql"
