job_id,job_title,selected_count,target_shortlist_size,avg_score,total_review_minutes,review_budget_minutes,avg_must_have_hits,distinct_categories_selected,selected_categories,selected_clusters
1,Wordpress Developer,5,5,0.5466554811246402,24.287999999999997,25.0,1.8,3,"DotNet Developer, Java Developer, Network Security Engineer",5
2,Backend Developer,5,5,0.5604189161709661,23.276,25.0,2.2,3,"DotNet Developer, Java Developer, Python Developer",5
3,iOS Developer,3,5,0.4538917712480101,23.942999999999998,25.0,1.0,3,"DevOps Engineer, Java Developer, Network Security Engineer",3
4,Flutter Developer,5,5,0.5021997749396527,24.402999999999995,25.0,1.2,4,"Database, HR, Java Developer, SAP Developer",5
5,Database Administrator,5,5,0.7716888250941432,19.503999999999998,25.0,1.0,4,"Arts, Civil Engineer, Health and fitness, Sales",5
6,Java Developer,5,5,0.7284864458190603,24.909,25.0,1.6,3,"Database, Java Developer, Python Developer",5
7,Machine Learning,5,5,0.5007417765453368,21.757999999999996,25.0,2.0,3,"Blockchain, Data Science, Hadoop",5
8,Wordpress Developer,5,5,0.5482572845824724,24.943499999999997,25.0,1.2,4,"Database, Java Developer, SAP Developer, Sales",5
9,Django Developer,5,5,0.5539167894111701,24.633,25.0,2.4,4,"Blockchain, Data Science, Hadoop, Python Developer",5
10,Django Developer,5,5,0.4862231581038777,21.309499999999996,25.0,1.0,3,"Blockchain, Data Science, Python Developer",5
11,PHP Developer,5,5,0.5437733769992749,23.9775,25.0,1.6,4,"Business Analyst, DotNet Developer, Hadoop, Web Designing",5
12,Backend Developer,4,5,0.587680483366656,23.735999999999997,25.0,1.5,3,"Automation Testing, Data Science, Java Developer",4
13,DevOps Engineer,4,5,0.6747880431250023,24.598499999999998,25.0,1.75,3,"Database, DevOps Engineer, Testing",4
14,Wordpress Developer,5,5,0.6378866189943856,23.644,25.0,1.0,3,"DotNet Developer, Java Developer, Web Designing",5
15,Database Administrator,5,5,0.5838269721982167,24.058,25.0,1.2,3,"Database, PMO, Sales",5
16,PHP Developer,5,5,0.5426761330142071,23.689999999999998,25.0,1.8,4,"Blockchain, Database, Python Developer, Web Designing",5
17,Software Engineer,5,5,0.5007802734690096,24.2995,25.0,1.4,4,"Automation Testing, DevOps Engineer, Hadoop, Testing",5
18,Network Administrator,4,5,0.5214396699616652,23.816499999999998,25.0,0.0,2,"Database, Network Security Engineer",4
19,Node js developer,5,5,0.53444497709986,24.633,25.0,1.4,3,"Database, DevOps Engineer, Java Developer",5
20,JavaScript Developer,5,5,0.49851855578105253,23.9085,25.0,1.8,4,"Automation Testing, Blockchain, Database, DotNet Developer",5
21,JavaScript Developer,5,5,0.5256661250018293,24.978,25.0,2.0,5,"Business Analyst, Data Science, Database, Java Developer, SAP Developer",5
22,Network Administrator,5,5,0.804906469488267,24.908999999999995,25.0,1.0,5,"Arts, Civil Engineer, Health and fitness, Network Security Engineer, Sales",5
23,Node js developer,5,5,0.5492542159704561,24.506499999999996,25.0,2.0,4,"Blockchain, Hadoop, Java Developer, Python Developer",5
24,Software Engineer,4,5,0.6453464655499568,24.195999999999998,25.0,2.75,3,"Automation Testing, DevOps Engineer, Testing",4
25,Java Developer,4,5,0.7255434326179103,21.804,25.0,3.0,3,"Blockchain, DevOps Engineer, Java Developer",4
26,iOS Developer,4,5,0.5211930328114007,24.978,25.0,1.5,4,"Automation Testing, Database, DevOps Engineer, Java Developer",4
27,DevOps Engineer,4,5,0.6862006736079735,22.793,25.0,1.75,2,"DevOps Engineer, Hadoop",4
28,Flutter Developer,5,5,0.568773049779965,21.067999999999998,25.0,1.0,3,"DotNet Developer, Java Developer, Web Designing",5
29,Django Developer,5,5,0.5038605912115488,24.081,25.0,1.4,4,"Data Science, Python Developer, SAP Developer, Web Designing",5
30,Database Administrator,5,5,0.5633518200067792,24.345499999999998,25.0,2.0,4,"Database, ETL Developer, HR, Health and fitness",5
